"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longitude","latitude","recreation","ecosystem","economic","viewshed","historic","culture"
"50",247,NA,NA,NA,NA,NA,"2016-03-16T10:23:19.512Z",320,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.837196,43.624893,3,3,3,3,3,3
"51",247,NA,NA,NA,NA,NA,"2016-03-16T10:23:36.174Z",321,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.810074,43.718016,3,3,3,3,3,3
"52",247,NA,NA,NA,NA,NA,"2016-03-16T10:23:48.785Z",322,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.810417,43.683019,3,3,3,NA,3,3
"53",247,NA,NA,NA,NA,NA,"2016-03-16T10:24:10.182Z",323,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.891098,43.695928,3,3,3,3,3,3
"54",247,NA,NA,NA,NA,NA,"2016-03-16T10:24:23.434Z",324,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.828613,43.600284,3,3,NA,3,3,3
"55",247,NA,NA,NA,NA,NA,"2016-03-16T10:24:38.678Z",325,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.768532,43.610228,3,3,3,3,3,3
"56",264,"PhD or Higher","65 - 84 years","Female","Yes","Yes","2016-03-16T13:03:19.620Z",334,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.772652,43.609358,3,3,3,3,3,3
"57",264,"PhD or Higher","65 - 84 years","Female","Yes","Yes","2016-03-16T13:04:03.901Z",335,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.771965,43.591706,NA,NA,NA,NA,NA,NA
"58",277,NA,NA,NA,NA,NA,"2016-03-16T13:28:58.497Z",343,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.779261,43.659986,NA,NA,NA,NA,NA,NA
"59",281,"Bachelors","45 - 64  years","Male","No","Yes","2016-03-16T13:50:59.592Z",346,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.72184,43.656447,3,2,0,2,0,0
"60",293,"Bachelors","45 - 64  years","Male","Yes","No","2016-03-16T14:39:03.283Z",359,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",11,"POINT",-71.748276,43.631602,NA,NA,NA,NA,2,2
"61",295,"Bachelors","25 - 44 years","Male","Yes","No","2016-03-16T14:42:17.475Z",362,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.791534,43.619176,1,2,1,3,1,1
"62",296,"Bachelors","65 - 84 years","Male","Yes","No","2016-03-16T14:47:45.019Z",367,"Conservation Priorities","Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,"POINT",-71.891098,43.617685,NA,NA,NA,3,NA,NA
"63",296,"Bachelors","65 - 84 years","Male","Yes","No","2016-03-16T14:46:15.372Z",366,"Conservation Priorities","Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,"POINT",-71.798744,43.683764,NA,NA,NA,3,NA,NA
"64",301,"Masters","25 - 44 years","Male","Yes","Yes","2016-03-16T15:07:07.484Z",380,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,"POINT",-71.803207,43.661476,1,2,3,3,1,0
"65",301,"Masters","25 - 44 years","Male","Yes","Yes","2016-03-16T15:08:21.106Z",381,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,"POINT",-71.863804,43.675011,3,3,1,3,3,3
"66",301,"Masters","25 - 44 years","Male","Yes","Yes","2016-03-16T15:11:32.105Z",384,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,"POINT",-71.78544,43.73805,3,2,3,3,3,3
"67",301,"Masters","25 - 44 years","Male","Yes","Yes","2016-03-16T15:05:50.826Z",379,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,"POINT",-71.775913,43.63533,3,3,3,0,0,0
"68",301,"Masters","25 - 44 years","Male","Yes","Yes","2016-03-16T15:10:07.191Z",383,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,"POINT",-71.752481,43.684695,2,2,2,3,1,1
"69",301,"Masters","25 - 44 years","Male","Yes","Yes","2016-03-16T15:09:16.272Z",382,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,"POINT",-71.835737,43.672652,3,3,3,3,3,3
"70",306,"Bachelors","65 - 84 years","Female","Yes","Yes","2016-03-16T16:03:37.597Z",394,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.785217,43.642038,3,1,1,1,1,1
"71",306,"Bachelors","65 - 84 years","Female","Yes","Yes","2016-03-16T15:51:26.930Z",392,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.745667,43.67264,1,1,NA,1,1,1
"72",306,"Bachelors","65 - 84 years","Female","Yes","Yes","2016-03-16T15:49:03.543Z",391,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.733856,43.659527,1,2,0,2,0,1
